기준연월,지역명,방문자 수
202108,성북구,3359098.0
202109,성북구,3840801.0
202110,성북구,3758199.0
202111,성북구,3829581.0
202112,성북구,3627008.0
202101,중랑구,2383514.0
202102,중랑구,2515074.0
202103,중랑구,2887077.0
202104,중랑구,2677183.0
202105,중랑구,2950283.0
202106,중랑구,2817391.0
202107,중랑구,2620773.0
202108,중랑구,2560524.0
202109,중랑구,2892158.0
202110,중랑구,2830587.0
202111,중랑구,2846946.0
202112,중랑구,2708829.0
202101,동대문구,3403098.0
202102,동대문구,3588551.0
202103,동대문구,4505318.0
202104,동대문구,3806098.0
202105,동대문구,4054632.0
202106,동대문구,3934671.0
202107,동대문구,3760036.0
202108,동대문구,3695097.0
202109,동대문구,4054689.0
202110,동대문구,4061656.0
202111,동대문구,4176002.0
202112,동대문구,3881276.0
202101,광진구,4018733.0
202102,광진구,4327976.0
202103,광진구,5285233.0
202104,광진구,4980007.0
202105,광진구,5294062.0
202106,광진구,5086148.0
202107,광진구,4588692.0
202108,광진구,4558349.0
202109,광진구,5168511.0
202110,광진구,5290755.0
202111,광진구,5297733.0
202112,광진구,4943057.0
202101,성동구,3476192.0
202102,성동구,3786096.0
202103,성동구,4648222.0
202104,성동구,4341108.0
202105,성동구,4475079.0
202106,성동구,4620633.0
202107,성동구,4039712.0
202108,성동구,4019106.0
202109,성동구,4359716.0
202110,성동구,4583445.0
202111,성동구,4638411.0
202112,성동구,4366808.0
202101,용산구,5045764.0
202102,용산구,5676661.0
202103,용산구,6893813.0
202104,용산구,6526651.0
202105,용산구,7102222.0
202106,용산구,7109580.0
202107,용산구,6231770.0
202108,용산구,6396312.0
202109,용산구,6754316.0
202110,용산구,7551804.0
202111,용산구,7758319.0
202112,용산구,7001280.0
202101,중구,7135542.0
202102,중구,7673527.0
202103,중구,9709870.0
202104,중구,8965732.0
202105,중구,9200312.0
202106,중구,9859100.0
202107,중구,8180589.0
202108,중구,8269736.0
202109,중구,9011670.0
202110,중구,10010557.0
202111,중구,10548295.0
202112,중구,10394759.0
202101,강동구,3429103.0
