업소명,소재지도로명,소재지지번,영업장면적(㎡),행정동명,영업장객실면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡)
코데즈컴바인(codes combine),"서울특별시 강남구 강남대로136길 64, 1층 (논현동)",논현동,,논현1동,,,
더 벤티,"서울특별시 강남구 압구정로 216, 코끼리상가 지상1층 6호 (신사동)",신사동,,신사동,,24.73,
넘버팔팔(NO.88),"서울특별시 강남구 선릉로 325, 중앙빌딩 지상1층 4호 (역삼동)",역삼동,,역삼1동,,26.28,
까페루아,"서울특별시 강서구 공항대로46길 13-7, 대명스카이 1층 101호 (화곡동, 대명스카이)",화곡동,,화곡제6동,,,
호조카페,"서울특별시 노원구 한글비석로 396, 복합상가108동 224호 (상계동, 벽산아파트)",상계동,,상계9동,,,
오름카페,"서울특별시 서대문구 연희로32길 134, 1층 (연희동)",연희동,,연희동,,,
(주)브로딩,"서울특별시 동대문구 하정로5길 5, 미영빌딩 1층 (신설동)",신설동,,용신동,,86.86,
"카페,바로","서울특별시 성동구 동일로 133, 1층 (성수동2가)",성수동2가,,성수2가제1동,,,
카페 더 갤러리,"서울특별시 양천구 중앙로 181, 복합메디컬타운 지하2층 B202-1호 (신정동)",신정동,,신정3동,,22.43,
드리탄커피,"서울특별시 광진구 자양로34길 17-3, 1층 101호 (구의동, 베아누 빌)",구의동,,구의제2동,,,
마치마치 명동점,"서울특별시 중구 명동8나길 51, 1,2,3층 (충무로1가)",충무로1가,,회현동,,96.93,
태양커피,"서울특별시 서초구 방배천로 32, 1층 103호 (방배동)",방배동,,방배제2동,,33.0,
메가엠지씨커피 염창역점,"서울특별시 강서구 공항대로 629, 1층 102(일부)호 (염창동)",염창동,,염창동,,,
으리PC방,"서울특별시 송파구 마천로41길 15, 지하1층 (마천동)",마천동,,마천1동,6.0,,
시그니처커피 2,"서울특별시 중구 퇴계로 286, 쌍림빌딩 1층 (쌍림동)",쌍림동,,광희동,,33.0,
메가엠지씨커피군자역점,"서울특별시 광진구 능동로 294, 능동빌딩 1층 (능동)",능동,,능동,,,
메가엠지씨커피군자역점,"서울특별시 광진구 능동로 294, 능동빌딩 1층 (능동)",능동,,능동,,,
플로레스타 FLORESTA,"서울특별시 강남구 개포로25길 5, 1층 (개포동)",개포동,,개포1동,,,
또다른여행,"서울특별시 강서구 마곡중앙2로 35, 이너매스마곡2 8층 809~810호 (마곡동)",마곡동,,발산제1동,,,
설레다커피테이블(seolleda coffee table),"서울특별시 도봉구 도봉로110길 55, 1층 (창동)",창동,,창제1동,,74.25,
복서커피(BOXER COFFEE),"서울특별시 광진구 뚝섬로 620, 1층 (자양동)",자양동,,자양제2동,,,
갤러리카페 나팔,"서울특별시 강서구 양천로 476, 금부빌딩 1층 (등촌동)",등촌동,,등촌제3동,,,
더 벤티(마곡수명산점),"서울특별시 강서구 수명로 78, 새롬프라자 1층 103호 (내발산동)",내발산동,,발산제1동,,,
디스커버리더블유,"서울특별시 강남구 언주로147길 36, 설봉빌딩 1층 (논현동)",논현동,,논현1동,,,
삼각지,"서울특별시 용산구 한강대로40가길 31, Y빌딩 1층 (한강로2가)",한강로2가,,한강로동,,,3.3
조커커피카페,"서울특별시 서초구 강남대로 523, 1층 (반포동)",반포동,,반포제1동,,18.0,
제2학생회관카페,"서울특별시 노원구 공릉로 232, 1층 일부 서울과학기술대학교 (공릉동)",공릉동,,공릉2동,,,
커피기타(coffeegita),"서울특별시 서대문구 통일로 161, 1층 (냉천동)",냉천동,,천연동,,,
카페베네한일병원점,"서울특별시 도봉구 우이천로 308, 한일병원 1층 (쌍문동)",쌍문동,,쌍문제3동,,42.84,
암사커피,"서울특별시 강동구 올림픽로100길 27, 1층 102호 (암사동)",암사동,,암사제1동,,23.1,
헤이피(HEyPPy),"서울특별시 동대문구 제기로2길 11, 2층 201호 (제기동)",제기동,,제기동,,88.13,
생명나무,"서울특별시 송파구 충민로4길 6, 상가동 1층 102호 (장지동, 송파파인타운8단지)",장지동,,문정2동,19.92,,
미래로 가자,"서울특별시 강동구 성내로6길 20, 104호 (성내동, 청일 베르네)",성내동,,성내제1동,,13.2,
말랑한날,"서울특별시 구로구 부일로9길 75, 1층 102호 (온수동)",온수동,,수궁동,,30.0,
말랑한날,"서울특별시 구로구 부일로9길 75, 1층 102호 (온수동)",온수동,,수궁동,,30.0,
니드카페(역삼점),"서울특별시 강남구 봉은사로26길 26, 1층 5호 (역삼동)",역삼동,,역삼1동,,,
비를긋다,"서울특별시 서대문구 북아현로11가길 18, 1층 (북아현동)",북아현동,,북아현동,,,
로쿠커피,"서울특별시 광진구 군자로15길 14, 1층 (군자동)",군자동,,군자동,,,
분씨,"서울특별시 중랑구 상봉로 7, 서일타운 1층 111호 (면목동)",면목동,,면목본동,,57.57,
카페분씨,"서울특별시 중랑구 상봉로 7, 서일타운 1층 111호 (면목동)",면목동,,면목본동,,57.57,
분씨,"서울특별시 중랑구 상봉로 7, 서일타운 1층 111호 (면목동)",면목동,,면목본동,,57.57,
