업소명,소재지도로명,소재지지번,영업장면적(㎡),행정동명,영업장객실면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡)
카페인중독 전농점,"서울특별시 동대문구 전농로 207, 1층 (전농동)",전농동,,전농제1동,,16.5,
카페나인,"서울특별시 강서구 수명로 78, 새롬프라자 9층 901호(일부),902호 (내발산동)",내발산동,,발산제1동,,,
카페나인,"서울특별시 강서구 수명로 78, 새롬프라자 9층 901호(일부),902호 (내발산동)",내발산동,,발산제1동,,,
BGM(비지엠),"서울특별시 서초구 청두곶3길 22, 1층 (방배동)",방배동,,방배제3동,,39.29,
디멘션,"서울특별시 강남구 헌릉로571길 13, 센트라빌 지상1층 102호 (세곡동)",세곡동,,세곡동,,29.82,
마을카페,"서울특별시 중랑구 겸재로61길 40, 망우3동 주민센터 1층 (망우동)",망우동,,망우제3동,,17.0,
매머드익스프레스 남부터미널점,"서울특별시 서초구 효령로53길 18, 석탑오피스텔 1층 114호 (서초동)",서초동,,서초제2동,,15.91,
상상나루래 카페,"서울특별시 강동구 올림픽로98가길 28, 1층 (암사동)",암사동,,암사제1동,,82.31,
상상나루래 카페,"서울특별시 강동구 올림픽로98가길 28, 1층 (암사동)",암사동,,암사제1동,,82.31,
빽다방선유도역점,"서울특별시 영등포구 양평로 120, 1층 (양평동4가)",양평동4가,,양평제2동,,,
업커피,"서울특별시 강동구 올림픽로91길 21, 104호 (천호동)",천호동,,천호제2동,,22.0,
이디야 공진초점,"서울특별시 강서구 마곡중앙1로 26, 마곡엠리체 101,102호 (마곡동)",마곡동,,발산제1동,,,
행복당 신당점,"서울특별시 중구 퇴계로 407, (흥인동)",흥인동,,신당동,,29.01,
"카페,달레트","서울특별시 영등포구 선유서로 76, 신동아아파트 1층 112호 (양평동1가)",양평동1가,,양평제1동,,,
"카페,달레트","서울특별시 영등포구 선유서로 76, 신동아아파트 1층 112호 (양평동1가)",양평동1가,,양평제1동,,,
메가엠지씨커피 목동사거리점,"서울특별시 강서구 곰달래로 272, 1층 102호 (화곡동)",화곡동,,화곡제4동,,,
메가엠지씨커피 목동사거리점,"서울특별시 강서구 곰달래로 272, 1층 102호 (화곡동)",화곡동,,화곡제4동,,,
요거트맨 강남구청점,"서울특별시 강남구 선릉로130길 56, 지상1층 4호 (삼성동)",삼성동,17.44,삼성1동,0.0,17.44,0.0
요거트맨 강남구청점,"서울특별시 강남구 선릉로130길 56, 지상1층 4호 (삼성동)",삼성동,,삼성1동,,27.44,
큰수커피,"서울특별시 송파구 양재대로 1239, 한국체육대학교 체육과학관 1층 (방이동)",방이동,,방이1동,35.81,,
별이빛나는,"서울특별시 관악구 양녕로1길 32, 1층 (봉천동)",봉천동,,은천동,,,
별이빛나는,"서울특별시 관악구 양녕로1길 32, 1층 (봉천동)",봉천동,,은천동,,,
모자이크(MOSAIC),"서울특별시 중구 다산로31길 64, 1층 (신당동)",신당동,,신당동,,13.2,
와이퍼구의점,"서울특별시 광진구 아차산로 450, 구의동 근린생활시설 1층 (구의동)",구의동,,구의제3동,,,
스타벅스 마곡역점,"서울특별시 강서구 공항대로 168, 1층 101~104호 (마곡동)",마곡동,,발산제1동,,,
아방스커피,"서울특별시 강남구 학동로101길 26, 청담 삼익상가 지상1층 112호 (청담동)",청담동,,청담동,,22.97,
