시도별,산업별,종사자규모별,항목,단위,2016 년,2017 년,2018 년,2019 년,Unnamed: 9
서울특별시,커피 전문점,20~49명,건물연면적[㎡],㎡,,7489,8213,22056,
서울특별시,커피 전문점,50명 이상,사업체수[개],개,2,4,3,3,
서울특별시,커피 전문점,50명 이상,종사자수[명],명,X,264,222,228,
서울특별시,커피 전문점,50명 이상,남자[명],명,X,13661,112,134,
서울특별시,커피 전문점,50명 이상,여자[명],명,X,28357,110,94,
서울특별시,커피 전문점,50명 이상,매출액[백만원],백만원,X,38808,19707,20141,
서울특별시,커피 전문점,50명 이상,영업비용[백만원],백만원,X,36978,18293,19922,
서울특별시,커피 전문점,50명 이상,매출원가[백만원],백만원,X,0,0,0,
서울특별시,커피 전문점,50명 이상,판매비와 관리비[백만원],백만원,X,0,0,0,
서울특별시,커피 전문점,50명 이상,인건비[백만원],백만원,X,8051,5584,4244,
서울특별시,커피 전문점,50명 이상,임차료[백만원],백만원,X,3588,1846,1409,
서울특별시,커피 전문점,50명 이상,기타경비[백만원],백만원,X,25339,10863,14269,
서울특별시,커피 전문점,50명 이상,연간급여액[백만원],백만원,X,6855,4527,3327,
서울특별시,커피 전문점,50명 이상,건물연면적[㎡],㎡,,1752,23255,870,
