생활폐기물 발생량,종류,소계,처리비율 (%),종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
재활용,재활용,3729.3,37.9,124.5,136.5,127.8,136.8,158.7,205.6,186.0,180.5,101.7,140.0,82.4,150.8,76.5,162.5,104.0,286.0,74.1,135.5,111.0,131.9,221.9,114.0,225.0,190.1,165.5
재활용,음식물,2806.1,28.5,95.1,87.8,70.8,74.6,94.5,92.8,37.1,95.1,73.6,80.7,125.0,74.1,70.0,123.4,117.5,160.2,96.9,62.5,155.4,93.0,91.3,179.2,123.2,414.7,117.6
소각,소계,2245.8,22.8,79.9,133.9,69.3,62.6,59.1,93.1,89.3,86.1,69.0,76.0,104.6,49.2,63.9,147.3,101.3,115.5,124.5,0.1,99.6,67.2,37.7,129.4,197.4,114.9,74.9
매립,소계,978.5,9.9,40.3,55.5,31.3,27.1,21.2,19.5,17.7,8.8,6.9,5.7,3.9,94.5,29.2,44.1,18.0,35.7,30.9,88.6,47.6,23.3,83.7,75.4,44.0,84.7,40.9
기타,소계,87.7,0.9,0.1,-,6.0,2.0,0.4,0.2,0.4,0.8,-,42.7,1.4,0.4,0.5,0.2,-,2.0,0.1,-,3.7,-,0.1,0.3,1.6,3.8,21.0
발생량,소계,9673.4,100.0,264.2,357.5,301.2,301.2,343.1,440.1,337.6,361.6,243.1,300.9,394.8,380.4,285.3,366.4,394.4,526.8,329.6,274.5,449.4,324.5,401.6,504.8,694.9,727.5,368.0
재활용,소계,6408.3,66.2,153.5,198.0,197.2,201.9,238.8,330.9,226.6,245.9,146.0,199.0,280.2,223.0,175.8,218.4,285.9,365.7,172.5,188.7,297.2,237.0,282.8,298.4,455.5,541.0,248.3
재활용,재활용,3868.7,40.0,77.4,117.9,133.6,123.7,152.0,240.1,139.9,158.5,77.2,126.2,162.7,143.4,112.4,133.8,196.8,221.7,90.5,133.7,160.8,151.7,188.7,142.6,213.1,332.5,137.9
재활용,음식물,2539.6,26.3,76.0,80.1,63.7,78.2,86.8,90.8,86.7,87.4,68.7,72.8,117.5,79.5,63.4,84.6,89.0,144.1,82.1,55.0,136.4,85.3,94.1,155.8,242.4,208.5,110.4
소각,소계,2288.8,23.7,83.4,128.4,77.6,62.4,82.9,86.6,92.5,101.1,88.8,94.5,107.1,52.7,78.6,114.2,90.2,103.6,109.1,15.7,121.5,66.4,30.5,127.3,203.0,97.0,73.6
매립,소계,948.5,9.8,25.9,31.1,26.2,26.6,21.4,22.6,18.5,14.2,8.4,7.1,5.3,104.6,30.9,33.9,18.4,56.2,47.9,67.6,26.8,18.7,88.2,79.2,35.0,88.3,45.6
기타,소계,27.7,0.3,1.4,-,0.2,10.2,-,-,-,0.3,-,0.3,2.2,0.2,-,-,-,1.2,-,2.4,3.9,2.3,-,-,1.3,1.2,0
