역명,날짜,광역_수송실적인원,ITX-청춘_수송실적인원
남춘천,2018년 12월 09일,3077,3095
남춘천,2018년 12월 10일,3497,2276
남춘천,2018년 12월 11일,3639,2281
남춘천,2018년 12월 12일,3932,2218
남춘천,2018년 12월 13일,3982,2509
남춘천,2018년 12월 14일,4268,2976
남춘천,2018년 12월 15일,4514,4142
남춘천,2018년 12월 16일,3293,3331
남춘천,2018년 12월 17일,4292,2452
남춘천,2018년 12월 18일,3499,2252
남춘천,2018년 12월 19일,3470,2273
남춘천,2018년 12월 20일,3988,2476
남춘천,2018년 12월 21일,4589,3115
남춘천,2018년 12월 22일,5372,4217
남춘천,2018년 12월 23일,3471,3350
남춘천,2018년 12월 24일,4210,2918
남춘천,2018년 12월 25일,3812,3271
남춘천,2018년 12월 26일,4083,2756
남춘천,2018년 12월 27일,3527,2385
남춘천,2018년 12월 28일,3680,2817
남춘천,2018년 12월 29일,3654,3398
남춘천,2018년 12월 30일,3035,2974
남춘천,2018년 12월 31일,3755,2683
춘천,2018년 12월 01일,2919,3217
춘천,2018년 12월 02일,2615,2803
춘천,2018년 12월 03일,2227,1494
춘천,2018년 12월 04일,2282,1431
춘천,2018년 12월 05일,2380,1464
춘천,2018년 12월 06일,2662,1636
춘천,2018년 12월 07일,2712,2250
춘천,2018년 12월 08일,2382,2842
춘천,2018년 12월 09일,2002,2266
춘천,2018년 12월 10일,2285,1562
춘천,2018년 12월 11일,2233,1506
춘천,2018년 12월 12일,2200,1527
춘천,2018년 12월 13일,2185,1650
춘천,2018년 12월 14일,2811,2258
춘천,2018년 12월 15일,2599,2905
춘천,2018년 12월 16일,2247,2482
춘천,2018년 12월 17일,2250,1817
춘천,2018년 12월 18일,2337,1541
춘천,2018년 12월 19일,2315,1598
춘천,2018년 12월 20일,2492,1691
춘천,2018년 12월 21일,2834,2274
춘천,2018년 12월 22일,2785,2941
춘천,2018년 12월 23일,2566,2576
춘천,2018년 12월 24일,2496,2255
춘천,2018년 12월 25일,2438,2535
춘천,2018년 12월 26일,2133,1821
춘천,2018년 12월 27일,1715,1531
춘천,2018년 12월 28일,2026,2028
춘천,2018년 12월 29일,2193,2373
춘천,2018년 12월 30일,1932,2108
춘천,2018년 12월 31일,2282,1922
남춘천,2019년 01월 01일,2833,3076
남춘천,2019년 01월 02일,3375,2240
남춘천,2019년 01월 03일,3113,2145
남춘천,2019년 01월 04일,3810,2690
남춘천,2019년 01월 05일,3715,3456
남춘천,2019년 01월 06일,3130,2930
남춘천,2019년 01월 07일,3814,2263
남춘천,2019년 01월 08일,3202,2167
남춘천,2019년 01월 09일,2980,2162
남춘천,2019년 01월 10일,3263,2172
남춘천,2019년 01월 11일,4005,2799
남춘천,2019년 01월 12일,5146,3853
남춘천,2019년 01월 13일,3457,3264
남춘천,2019년 01월 14일,3258,2224
남춘천,2019년 01월 15일,3165,2213
남춘천,2019년 01월 16일,3251,2138
남춘천,2019년 01월 17일,4038,2187
남춘천,2019년 01월 18일,4073,2843
남춘천,2019년 01월 19일,4361,3768
남춘천,2019년 01월 20일,3219,3400
남춘천,2019년 01월 21일,3378,2330
남춘천,2019년 01월 22일,4260,2179
남춘천,2019년 01월 23일,3237,2293
남춘천,2019년 01월 24일,3356,2359
남춘천,2019년 01월 25일,3796,2864
남춘천,2019년 01월 26일,4043,3789
남춘천,2019년 01월 27일,4060,3214
남춘천,2019년 01월 28일,3316,2258
남춘천,2019년 01월 29일,3124,2156
남춘천,2019년 01월 30일,3235,2236
남춘천,2019년 01월 31일,3085,2199
춘천,2019년 01월 01일,2199,2369
춘천,2019년 01월 02일,1714,1585
춘천,2019년 01월 03일,1939,1489
춘천,2019년 01월 04일,2266,2024
춘천,2019년 01월 05일,2508,2486
춘천,2019년 01월 06일,2167,2306
춘천,2019년 01월 07일,2039,1506
춘천,2019년 01월 08일,1908,1506
춘천,2019년 01월 09일,1716,1533
춘천,2019년 01월 10일,1963,1682
춘천,2019년 01월 11일,2266,1998
춘천,2019년 01월 12일,3013,2875
춘천,2019년 01월 13일,2701,2611
춘천,2019년 01월 14일,1869,1579
춘천,2019년 01월 15일,1881,1643
춘천,2019년 01월 16일,1816,1488
춘천,2019년 01월 17일,1939,1626
춘천,2019년 01월 18일,2306,2086
춘천,2019년 01월 19일,2627,2992
춘천,2019년 01월 20일,2334,2548
춘천,2019년 01월 21일,1858,1636
춘천,2019년 01월 22일,2055,1565
춘천,2019년 01월 23일,1910,1584
춘천,2019년 01월 24일,2000,1667
춘천,2019년 01월 25일,2185,1939
춘천,2019년 01월 26일,2621,2785
춘천,2019년 01월 27일,2245,2475
춘천,2019년 01월 28일,1804,1664
춘천,2019년 01월 29일,1787,1563
춘천,2019년 01월 30일,1793,1498
춘천,2019년 01월 31일,1691,1472
남춘천,2019년 02월 01일,3371,2711
남춘천,2019년 02월 02일,3881,2988
남춘천,2019년 02월 03일,2403,2135
남춘천,2019년 02월 04일,2644,2209
남춘천,2019년 02월 05일,3270,4341
남춘천,2019년 02월 06일,3179,4601
남춘천,2019년 02월 07일,3336,2430
남춘천,2019년 02월 08일,3436,2543
남춘천,2019년 02월 09일,3977,3447
남춘천,2019년 02월 10일,3165,2894
남춘천,2019년 02월 11일,4096,2469
남춘천,2019년 02월 12일,3999,2164
남춘천,2019년 02월 13일,3379,2287
남춘천,2019년 02월 14일,3443,2295
남춘천,2019년 02월 15일,4045,2898
남춘천,2019년 02월 16일,4739,4068
남춘천,2019년 02월 17일,4161,3174
남춘천,2019년 02월 18일,3504,2357
남춘천,2019년 02월 19일,3289,2323
남춘천,2019년 02월 20일,3532,2590
남춘천,2019년 02월 21일,3578,2402
남춘천,2019년 02월 22일,5001,3034
남춘천,2019년 02월 23일,4470,4107
남춘천,2019년 02월 24일,3519,3260
남춘천,2019년 02월 25일,3564,2559
남춘천,2019년 02월 26일,3621,2426
남춘천,2019년 02월 27일,4501,2630
남춘천,2019년 02월 28일,4927,2757
춘천,2019년 02월 01일,1926,1849
춘천,2019년 02월 02일,2019,2238
춘천,2019년 02월 03일,1458,1559
춘천,2019년 02월 04일,2032,1825
춘천,2019년 02월 05일,2974,3395
춘천,2019년 02월 06일,2977,3420
춘천,2019년 02월 07일,1928,1664
춘천,2019년 02월 08일,1860,1772
춘천,2019년 02월 09일,2433,2509
춘천,2019년 02월 10일,2134,2146
춘천,2019년 02월 11일,1994,1750
춘천,2019년 02월 12일,2065,1657
춘천,2019년 02월 13일,2227,1637
춘천,2019년 02월 14일,2102,1618
춘천,2019년 02월 15일,2415,2147
춘천,2019년 02월 16일,2783,3048
춘천,2019년 02월 17일,2346,2497
춘천,2019년 02월 18일,2077,1726
춘천,2019년 02월 19일,2058,1746
춘천,2019년 02월 20일,2391,2002
춘천,2019년 02월 21일,3046,2110
춘천,2019년 02월 22일,2403,2121
춘천,2019년 02월 23일,3236,3315
춘천,2019년 02월 24일,2935,2954
춘천,2019년 02월 25일,2700,1966
춘천,2019년 02월 26일,2924,2093
춘천,2019년 02월 27일,3035,2181
춘천,2019년 02월 28일,3943,2796
남춘천,2019년 03월 01일,5426,3634
남춘천,2019년 03월 02일,5240,3488
남춘천,2019년 03월 03일,3784,3217
남춘천,2019년 03월 04일,4085,2251
남춘천,2019년 03월 05일,3778,1949
남춘천,2019년 03월 06일,3587,2009
남춘천,2019년 03월 07일,4950,2540
남춘천,2019년 03월 08일,5197,3272
남춘천,2019년 03월 09일,4918,4152
남춘천,2019년 03월 10일,3660,3370
남춘천,2019년 03월 11일,4066,2254
남춘천,2019년 03월 12일,4126,2111
남춘천,2019년 03월 13일,3677,2099
남춘천,2019년 03월 14일,4023,2397
남춘천,2019년 03월 15일,4971,3227
남춘천,2019년 03월 16일,4436,4189
남춘천,2019년 03월 17일,4614,3504
남춘천,2019년 03월 18일,3974,2320
남춘천,2019년 03월 19일,3870,2132
남춘천,2019년 03월 20일,3611,2096
남춘천,2019년 03월 21일,3942,2449
남춘천,2019년 03월 22일,5872,3391
남춘천,2019년 03월 23일,4513,3994
남춘천,2019년 03월 24일,4043,3483
남춘천,2019년 03월 25일,3959,2266
남춘천,2019년 03월 26일,3890,2209
남춘천,2019년 03월 27일,4300,2115
남춘천,2019년 03월 28일,4172,2500
남춘천,2019년 03월 29일,5650,3228
남춘천,2019년 03월 30일,4358,3760
남춘천,2019년 03월 31일,3624,3443
춘천,2019년 03월 01일,4583,3655
춘천,2019년 03월 02일,3439,3856
춘천,2019년 03월 03일,2832,2782
춘천,2019년 03월 04일,2724,1560
춘천,2019년 03월 05일,2497,1512
춘천,2019년 03월 06일,2327,1495
춘천,2019년 03월 07일,2922,1580
춘천,2019년 03월 08일,3085,2217
춘천,2019년 03월 09일,3318,3111
춘천,2019년 03월 10일,2719,2474
춘천,2019년 03월 11일,2497,1658
춘천,2019년 03월 12일,2440,1475
춘천,2019년 03월 13일,2399,1465
춘천,2019년 03월 14일,2779,1661
춘천,2019년 03월 15일,3168,2330
춘천,2019년 03월 16일,2805,3191
춘천,2019년 03월 17일,2702,2499
춘천,2019년 03월 18일,2764,1713
춘천,2019년 03월 19일,2599,1559
춘천,2019년 03월 20일,2362,1576
춘천,2019년 03월 21일,2806,1707
춘천,2019년 03월 22일,3429,2351
춘천,2019년 03월 23일,2901,3032
춘천,2019년 03월 24일,2982,2575
춘천,2019년 03월 25일,2480,1642
춘천,2019년 03월 26일,2712,1590
춘천,2019년 03월 27일,2396,1605
춘천,2019년 03월 28일,2720,1696
춘천,2019년 03월 29일,3392,2361
춘천,2019년 03월 30일,2518,2938
춘천,2019년 03월 31일,2717,2637
남춘천,2019년 04월 01일,3902,2363
남춘천,2019년 04월 02일,4538,2153
남춘천,2019년 04월 03일,3553,2252
남춘천,2019년 04월 04일,4100,2562
남춘천,2019년 04월 05일,5297,3200
남춘천,2019년 04월 06일,4943,4038
남춘천,2019년 04월 07일,4682,3424
남춘천,2019년 04월 08일,3966,2386
남춘천,2019년 04월 09일,3667,2248
남춘천,2019년 04월 10일,3501,2156
남춘천,2019년 04월 11일,4228,2593
남춘천,2019년 04월 12일,5864,3254
남춘천,2019년 04월 13일,5322,4229
남춘천,2019년 04월 14일,3674,3080
남춘천,2019년 04월 15일,3935,2469
남춘천,2019년 04월 16일,3718,2216
남춘천,2019년 04월 17일,4724,2344
남춘천,2019년 04월 18일,4163,2547
남춘천,2019년 04월 19일,4532,3097
남춘천,2019년 04월 20일,4822,4123
남춘천,2019년 04월 21일,3631,3239
남춘천,2019년 04월 22일,4830,2370
남춘천,2019년 04월 23일,3630,2217
남춘천,2019년 04월 24일,3567,2245
남춘천,2019년 04월 25일,4070,2593
남춘천,2019년 04월 26일,5055,3250
남춘천,2019년 04월 27일,6837,4318
남춘천,2019년 04월 28일,4144,3381
남춘천,2019년 04월 29일,4012,2413
남춘천,2019년 04월 30일,4170,2617
춘천,2019년 04월 01일,2440,1704
춘천,2019년 04월 02일,2577,1536
춘천,2019년 04월 03일,2452,1565
춘천,2019년 04월 04일,2885,1716
춘천,2019년 04월 05일,3143,2283
춘천,2019년 04월 06일,2781,3171
춘천,2019년 04월 07일,3234,2748
춘천,2019년 04월 08일,2693,1784
춘천,2019년 04월 09일,2610,1715
춘천,2019년 04월 10일,2443,1659
춘천,2019년 04월 11일,2868,1774
춘천,2019년 04월 12일,3252,2467
춘천,2019년 04월 13일,4114,3612
춘천,2019년 04월 14일,2184,2430
춘천,2019년 04월 15일,2845,1818
춘천,2019년 04월 16일,3091,1799
춘천,2019년 04월 17일,2778,1845
춘천,2019년 04월 18일,2888,1871
춘천,2019년 04월 19일,3379,2457
춘천,2019년 04월 20일,4310,3247
춘천,2019년 04월 21일,3357,2803
춘천,2019년 04월 22일,2983,1781
춘천,2019년 04월 23일,2854,1800
춘천,2019년 04월 24일,2625,1714
춘천,2019년 04월 25일,2717,1776
춘천,2019년 04월 26일,3953,2512
춘천,2019년 04월 27일,4595,3240
춘천,2019년 04월 28일,3619,3024
춘천,2019년 04월 29일,2873,1854
춘천,2019년 04월 30일,2988,1894
남춘천,2019년 05월 01일,4210,2543
남춘천,2019년 05월 02일,5415,2798
남춘천,2019년 05월 03일,6160,3718
남춘천,2019년 05월 04일,5842,4189
남춘천,2019년 05월 05일,4527,3543
남춘천,2019년 05월 06일,5127,3926
남춘천,2019년 05월 07일,4885,2523
남춘천,2019년 05월 08일,3862,2341
남춘천,2019년 05월 09일,4346,2706
남춘천,2019년 05월 10일,5901,3290
남춘천,2019년 05월 11일,5669,4012
남춘천,2019년 05월 12일,4841,3478
남춘천,2019년 05월 13일,3865,2394
남춘천,2019년 05월 14일,4016,2316
남춘천,2019년 05월 15일,3827,2385
남춘천,2019년 05월 16일,4568,2674
남춘천,2019년 05월 17일,6484,3401
남춘천,2019년 05월 18일,5803,4219
남춘천,2019년 05월 19일,3901,3497
남춘천,2019년 05월 20일,4097,2463
남춘천,2019년 05월 21일,3768,2213
남춘천,2019년 05월 22일,4661,2357
남춘천,2019년 05월 23일,4378,2594
남춘천,2019년 05월 24일,5401,3340
남춘천,2019년 05월 25일,5311,4353
남춘천,2019년 05월 26일,4263,3595
남춘천,2019년 05월 27일,3951,2386
남춘천,2019년 05월 28일,3756,2204
남춘천,2019년 05월 29일,3888,2205
남춘천,2019년 05월 30일,4349,2701
남춘천,2019년 05월 31일,5109,3200
춘천,2019년 05월 01일,3890,2523
춘천,2019년 05월 02일,3276,2044
춘천,2019년 05월 03일,3999,2620
춘천,2019년 05월 04일,4893,3577
춘천,2019년 05월 05일,4404,3657
춘천,2019년 05월 06일,4858,3959
춘천,2019년 05월 07일,3009,1976
춘천,2019년 05월 08일,2712,1740
춘천,2019년 05월 09일,2932,1854
춘천,2019년 05월 10일,3834,2621
춘천,2019년 05월 11일,4479,3093
춘천,2019년 05월 12일,3852,2996
춘천,2019년 05월 13일,2903,1850
춘천,2019년 05월 14일,2846,1814
춘천,2019년 05월 15일,2707,1770
춘천,2019년 05월 16일,3074,1972
춘천,2019년 05월 17일,3827,2659
춘천,2019년 05월 18일,4312,3688
춘천,2019년 05월 19일,3135,2643
춘천,2019년 05월 20일,2841,1818
춘천,2019년 05월 21일,2927,1762
춘천,2019년 05월 22일,3024,1769
춘천,2019년 05월 23일,3068,1915
춘천,2019년 05월 24일,3962,2547
춘천,2019년 05월 25일,3894,3462
춘천,2019년 05월 26일,3890,2992
춘천,2019년 05월 27일,2334,1602
춘천,2019년 05월 28일,2844,1683
춘천,2019년 05월 29일,2816,1671
춘천,2019년 05월 30일,3160,1767
춘천,2019년 05월 31일,3418,2334
남춘천,2019년 06월 01일,5309,4198
남춘천,2019년 06월 02일,4964,3367
남춘천,2019년 06월 03일,3861,2248
남춘천,2019년 06월 04일,3720,2214
남춘천,2019년 06월 05일,4653,2948
남춘천,2019년 06월 06일,4348,2992
남춘천,2019년 06월 07일,4688,2897
남춘천,2019년 06월 08일,4410,3657
남춘천,2019년 06월 09일,3434,3038
남춘천,2019년 06월 10일,3664,2202
남춘천,2019년 06월 11일,3952,2176
남춘천,2019년 06월 12일,4471,2170
남춘천,2019년 06월 13일,4347,2587
남춘천,2019년 06월 14일,4332,2989
남춘천,2019년 06월 15일,4795,3781
남춘천,2019년 06월 16일,3774,3081
남춘천,2019년 06월 17일,4837,2497
남춘천,2019년 06월 18일,3476,2222
남춘천,2019년 06월 19일,3781,2314
남춘천,2019년 06월 20일,4415,2717
남춘천,2019년 06월 21일,4595,3006
남춘천,2019년 06월 22일,5880,4158
남춘천,2019년 06월 23일,3901,3514
남춘천,2019년 06월 24일,3792,2396
남춘천,2019년 06월 25일,3556,2119
남춘천,2019년 06월 26일,3582,2053
남춘천,2019년 06월 27일,4276,2242
남춘천,2019년 06월 28일,4169,2679
남춘천,2019년 06월 29일,4482,3629
남춘천,2019년 06월 30일,3811,3277
춘천,2019년 06월 01일,3837,3293
춘천,2019년 06월 02일,3476,3014
춘천,2019년 06월 03일,2520,1724
춘천,2019년 06월 04일,2582,1654
춘천,2019년 06월 05일,3063,2005
춘천,2019년 06월 06일,4403,2949
춘천,2019년 06월 07일,2839,2321
춘천,2019년 06월 08일,3844,3207
춘천,2019년 06월 09일,2928,2687
춘천,2019년 06월 10일,2295,1651
춘천,2019년 06월 11일,4118,1753
춘천,2019년 06월 12일,3356,1748
춘천,2019년 06월 13일,3949,1947
춘천,2019년 06월 14일,4150,2342
춘천,2019년 06월 15일,5243,3438
춘천,2019년 06월 16일,4352,2924
춘천,2019년 06월 17일,2913,1881
춘천,2019년 06월 18일,2174,1562
춘천,2019년 06월 19일,2060,1529
춘천,2019년 06월 20일,2395,1631
춘천,2019년 06월 21일,2515,2178
춘천,2019년 06월 22일,3889,3109
춘천,2019년 06월 23일,3466,2946
춘천,2019년 06월 24일,2369,1697
춘천,2019년 06월 25일,2272,1570
춘천,2019년 06월 26일,2073,1512
춘천,2019년 06월 27일,2067,1491
춘천,2019년 06월 28일,2627,2039
춘천,2019년 06월 29일,3064,2675
춘천,2019년 06월 30일,3073,2721
남춘천,2019년 07월 01일,3593,2156
남춘천,2019년 07월 02일,4214,2074
남춘천,2019년 07월 03일,3329,2074
남춘천,2019년 07월 04일,3544,2154
남춘천,2019년 07월 05일,4044,2782
남춘천,2019년 07월 06일,4930,3848
남춘천,2019년 07월 07일,4786,3376
남춘천,2019년 07월 08일,3603,2175
남춘천,2019년 07월 09일,3493,2076
남춘천,2019년 07월 10일,3348,2114
남춘천,2019년 07월 11일,3208,2091
남춘천,2019년 07월 12일,4670,2713
남춘천,2019년 07월 13일,4688,3678
남춘천,2019년 07월 14일,3754,3361
남춘천,2019년 07월 15일,3573,2189
남춘천,2019년 07월 16일,3278,1978
남춘천,2019년 07월 17일,4173,2246
남춘천,2019년 07월 18일,3637,2235
남춘천,2019년 07월 19일,4122,2662
남춘천,2019년 07월 20일,4239,3725
남춘천,2019년 07월 21일,3303,3152
남춘천,2019년 07월 22일,4143,2138
남춘천,2019년 07월 23일,3475,2036
남춘천,2019년 07월 24일,3331,2050
남춘천,2019년 07월 25일,3239,2178
남춘천,2019년 07월 26일,3568,2730
남춘천,2019년 07월 27일,4732,3553
남춘천,2019년 07월 28일,3046,3121
남춘천,2019년 07월 29일,3792,2289
남춘천,2019년 07월 30일,3641,2127
남춘천,2019년 07월 31일,3197,2185
춘천,2019년 07월 01일,2022,1456
춘천,2019년 07월 02일,2123,1458
춘천,2019년 07월 03일,2125,1512
춘천,2019년 07월 04일,2103,1538
춘천,2019년 07월 05일,2572,2034
춘천,2019년 07월 06일,3334,2940
춘천,2019년 07월 07일,3010,2756
춘천,2019년 07월 08일,2037,1586
춘천,2019년 07월 09일,2115,1501
춘천,2019년 07월 10일,1892,1506
춘천,2019년 07월 11일,1788,1436
춘천,2019년 07월 12일,2425,1970
춘천,2019년 07월 13일,3450,3055
춘천,2019년 07월 14일,3138,2674
춘천,2019년 07월 15일,2047,1640
춘천,2019년 07월 16일,1997,1448
춘천,2019년 07월 17일,2004,1570
춘천,2019년 07월 18일,2125,1588
춘천,2019년 07월 19일,2601,1989
춘천,2019년 07월 20일,2655,2788
춘천,2019년 07월 21일,2477,2461
춘천,2019년 07월 22일,2051,1559
춘천,2019년 07월 23일,2039,1585
춘천,2019년 07월 24일,1993,1473
춘천,2019년 07월 25일,1891,1578
춘천,2019년 07월 26일,1946,1994
춘천,2019년 07월 27일,2785,2550
춘천,2019년 07월 28일,2420,2558
춘천,2019년 07월 29일,2512,2004
춘천,2019년 07월 30일,2534,1886
춘천,2019년 07월 31일,2012,1817
남춘천,2019년 08월 01일,3892,2217
남춘천,2019년 08월 02일,5285,2609
남춘천,2019년 08월 03일,4373,3686
남춘천,2019년 08월 04일,3802,3586
남춘천,2019년 08월 05일,3991,2345
남춘천,2019년 08월 06일,3670,2048
남춘천,2019년 08월 07일,3537,2053
남춘천,2019년 08월 08일,3649,2209
남춘천,2019년 08월 09일,4282,2494
남춘천,2019년 08월 10일,4406,3677
남춘천,2019년 08월 11일,3802,3314
남춘천,2019년 08월 12일,3692,2175
남춘천,2019년 08월 13일,3570,2056
남춘천,2019년 08월 14일,3872,2439
남춘천,2019년 08월 15일,3547,2903
남춘천,2019년 08월 16일,3997,2602
남춘천,2019년 08월 17일,5559,3740
남춘천,2019년 08월 18일,3617,3391
남춘천,2019년 08월 19일,3779,2306
남춘천,2019년 08월 20일,3504,2117
남춘천,2019년 08월 21일,3592,2004
남춘천,2019년 08월 22일,4482,2252
남춘천,2019년 08월 23일,4235,2624
남춘천,2019년 08월 24일,4821,3850
남춘천,2019년 08월 25일,3830,3443
남춘천,2019년 08월 26일,3853,2278
남춘천,2019년 08월 27일,4320,2111
남춘천,2019년 08월 28일,3610,2228
남춘천,2019년 08월 29일,3450,2238
남춘천,2019년 08월 30일,4741,2852
남춘천,2019년 08월 31일,4757,4254
춘천,2019년 08월 01일,2850,2092
춘천,2019년 08월 02일,3551,2416
춘천,2019년 08월 03일,4043,3316
춘천,2019년 08월 04일,3449,3134
춘천,2019년 08월 05일,2615,2024
춘천,2019년 08월 06일,2592,1867
춘천,2019년 08월 07일,1874,1593
춘천,2019년 08월 08일,2354,1737
춘천,2019년 08월 09일,2854,2167
춘천,2019년 08월 10일,3168,2881
춘천,2019년 08월 11일,3025,2806
춘천,2019년 08월 12일,1927,1642
춘천,2019년 08월 13일,2240,1646
춘천,2019년 08월 14일,2596,1898
춘천,2019년 08월 15일,2747,2540
춘천,2019년 08월 16일,2508,2073
춘천,2019년 08월 17일,3206,3179
춘천,2019년 08월 18일,3172,3008
춘천,2019년 08월 19일,2311,1737
춘천,2019년 08월 20일,2245,1658
춘천,2019년 08월 21일,2171,1526
춘천,2019년 08월 22일,2270,1663
춘천,2019년 08월 23일,2627,2172
춘천,2019년 08월 24일,3586,3333
춘천,2019년 08월 25일,3111,3050
춘천,2019년 08월 26일,2964,2055
춘천,2019년 08월 27일,2749,1905
춘천,2019년 08월 28일,2681,1889
춘천,2019년 08월 29일,2942,1897
춘천,2019년 08월 30일,3558,2563
춘천,2019년 08월 31일,3712,3290
남춘천,2019년 09월 01일,3848,3469
남춘천,2019년 09월 02일,4615,2311
남춘천,2019년 09월 03일,3468,2180
남춘천,2019년 09월 04일,3161,2093
남춘천,2019년 09월 05일,3709,2395
남춘천,2019년 09월 06일,4387,3051
남춘천,2019년 09월 07일,3060,2685
남춘천,2019년 09월 08일,3137,3033
남춘천,2019년 09월 09일,3606,2309
남춘천,2019년 09월 10일,3170,2299
남춘천,2019년 09월 11일,6302,3896
남춘천,2019년 09월 12일,4445,3225
남춘천,2019년 09월 13일,3745,4161
남춘천,2019년 09월 14일,3882,4608
남춘천,2019년 09월 15일,4099,4537
남춘천,2019년 09월 16일,3812,2502
남춘천,2019년 09월 17일,4477,2231
남춘천,2019년 09월 18일,3786,2267
남춘천,2019년 09월 19일,4162,2602
남춘천,2019년 09월 20일,5203,3346
남춘천,2019년 09월 21일,5146,4406
남춘천,2019년 09월 22일,3625,3158
남춘천,2019년 09월 23일,3764,2423
남춘천,2019년 09월 24일,3684,2204
남춘천,2019년 09월 25일,3613,2274
남춘천,2019년 09월 26일,4098,2739
남춘천,2019년 09월 27일,6243,3280
남춘천,2019년 09월 28일,5635,4265
남춘천,2019년 09월 29일,4383,3505
남춘천,2019년 09월 30일,4079,2418
춘천,2019년 09월 01일,3150,2888
춘천,2019년 09월 02일,2513,1813
춘천,2019년 09월 03일,2473,1702
춘천,2019년 09월 04일,1982,1682
춘천,2019년 09월 05일,2480,1740
춘천,2019년 09월 06일,2905,2730
춘천,2019년 09월 07일,1473,1478
춘천,2019년 09월 08일,2357,2254
춘천,2019년 09월 09일,2188,1639
춘천,2019년 09월 10일,2130,1580
춘천,2019년 09월 11일,4010,2532
춘천,2019년 09월 12일,2759,2319
춘천,2019년 09월 13일,3692,3623
춘천,2019년 09월 14일,4458,4221
춘천,2019년 09월 15일,3430,3336
춘천,2019년 09월 16일,2663,1953
춘천,2019년 09월 17일,2506,1639
춘천,2019년 09월 18일,2419,1661
춘천,2019년 09월 19일,2843,1843
춘천,2019년 09월 20일,3524,2698
춘천,2019년 09월 21일,3319,3469
춘천,2019년 09월 22일,2008,2365
춘천,2019년 09월 23일,2539,1841
춘천,2019년 09월 24일,2620,1813
춘천,2019년 09월 25일,2492,1827
춘천,2019년 09월 26일,2997,2041
춘천,2019년 09월 27일,3492,2607
춘천,2019년 09월 28일,4144,3438
춘천,2019년 09월 29일,3433,3159
춘천,2019년 09월 30일,2748,1881
남춘천,2019년 10월 01일,3618,2211
남춘천,2019년 10월 02일,4977,2956
남춘천,2019년 10월 03일,3816,2923
남춘천,2019년 10월 04일,5046,3050
남춘천,2019년 10월 05일,5031,4103
남춘천,2019년 10월 06일,4063,3386
남춘천,2019년 10월 07일,3898,2318
남춘천,2019년 10월 08일,4622,2749
남춘천,2019년 10월 09일,4544,2868
남춘천,2019년 10월 10일,4049,2579
남춘천,2019년 10월 11일,5083,2439
남춘천,2019년 10월 12일,6292,3319
남춘천,2019년 10월 13일,4125,2783
남춘천,2019년 10월 14일,3865,2347
남춘천,2019년 10월 15일,3721,2210
남춘천,2019년 10월 16일,3513,2240
남춘천,2019년 10월 17일,4978,2424
남춘천,2019년 10월 18일,4652,2969
남춘천,2019년 10월 19일,5218,4285
남춘천,2019년 10월 20일,4516,3450
남춘천,2019년 10월 21일,3915,2319
남춘천,2019년 10월 22일,4527,2194
남춘천,2019년 10월 23일,3610,2187
남춘천,2019년 10월 24일,4141,2445
남춘천,2019년 10월 25일,5164,3347
남춘천,2019년 10월 26일,5956,4363
남춘천,2019년 10월 27일,6147,4143
남춘천,2019년 10월 28일,3919,2408
남춘천,2019년 10월 29일,3873,2173
남춘천,2019년 10월 30일,3738,2275
남춘천,2019년 10월 31일,4300,2553
춘천,2019년 10월 01일,2835,1831
춘천,2019년 10월 02일,2786,2003
춘천,2019년 10월 03일,2808,2484
춘천,2019년 10월 04일,3716,2778
춘천,2019년 10월 05일,3651,3576
춘천,2019년 10월 06일,3525,3251
춘천,2019년 10월 07일,2313,1912
춘천,2019년 10월 08일,3019,2248
춘천,2019년 10월 09일,4345,3233
춘천,2019년 10월 10일,2775,1979
춘천,2019년 10월 11일,3291,1908
춘천,2019년 10월 12일,3989,2684
춘천,2019년 10월 13일,3426,2573
춘천,2019년 10월 14일,2507,1794
춘천,2019년 10월 15일,2819,2266
춘천,2019년 10월 16일,2543,1833
춘천,2019년 10월 17일,2887,1972
춘천,2019년 10월 18일,3436,2411
춘천,2019년 10월 19일,4336,3431
춘천,2019년 10월 20일,4140,3478
춘천,2019년 10월 21일,2811,2036
춘천,2019년 10월 22일,3052,1781
춘천,2019년 10월 23일,2740,1912
춘천,2019년 10월 24일,3226,2116
춘천,2019년 10월 25일,3677,2512
춘천,2019년 10월 26일,4724,3686
춘천,2019년 10월 27일,5829,4308
춘천,2019년 10월 28일,2989,1978
춘천,2019년 10월 29일,2960,1877
춘천,2019년 10월 30일,3141,1894
춘천,2019년 10월 31일,3473,2038
남춘천,2019년 11월 01일,5368,3172
남춘천,2019년 11월 02일,6221,4049
남춘천,2019년 11월 03일,4696,3643
남춘천,2019년 11월 04일,3915,2320
남춘천,2019년 11월 05일,3792,2127
남춘천,2019년 11월 06일,3827,2252
남춘천,2019년 11월 07일,5136,2580
남춘천,2019년 11월 08일,5258,3186
남춘천,2019년 11월 09일,5130,4141
남춘천,2019년 11월 10일,4082,3611
남춘천,2019년 11월 11일,3925,2379
남춘천,2019년 11월 12일,4322,2197
남춘천,2019년 11월 13일,3560,2148
남춘천,2019년 11월 14일,3960,2531
남춘천,2019년 11월 15일,4974,3244
남춘천,2019년 11월 16일,4759,4099
남춘천,2019년 11월 17일,4034,3473
남춘천,2019년 11월 18일,3678,2347
남춘천,2019년 11월 19일,3552,2112
