역명,날짜,광역_수송실적인원,ITX-청춘_수송실적인원
남춘천,2018년 03월 17일,5806,4540
남춘천,2018년 03월 18일,3704,3563
남춘천,2018년 03월 19일,3889,2452
남춘천,2018년 03월 20일,3699,2213
남춘천,2018년 03월 21일,3585,2269
남춘천,2018년 03월 22일,4727,2503
남춘천,2018년 03월 23일,5427,3387
남춘천,2018년 03월 24일,5331,4681
남춘천,2018년 03월 25일,3834,3586
남춘천,2018년 03월 26일,4118,2420
남춘천,2018년 03월 27일,5084,2239
남춘천,2018년 03월 28일,3842,2243
남춘천,2018년 03월 29일,4289,2548
남춘천,2018년 03월 30일,5547,3211
남춘천,2018년 03월 31일,4791,4162
춘천,2018년 03월 01일,2572,2833
춘천,2018년 03월 02일,2829,2166
춘천,2018년 03월 03일,2922,3193
춘천,2018년 03월 04일,2100,2131
춘천,2018년 03월 05일,2397,1536
춘천,2018년 03월 06일,2667,1534
춘천,2018년 03월 07일,2558,1418
춘천,2018년 03월 08일,2624,1626
춘천,2018년 03월 09일,3060,2221
춘천,2018년 03월 10일,2622,2991
춘천,2018년 03월 11일,2884,2739
춘천,2018년 03월 12일,2654,1597
춘천,2018년 03월 13일,2561,1598
춘천,2018년 03월 14일,2644,1546
춘천,2018년 03월 15일,2526,1646
춘천,2018년 03월 16일,3204,2285
춘천,2018년 03월 17일,3238,3385
춘천,2018년 03월 18일,2853,2749
춘천,2018년 03월 19일,2529,1625
춘천,2018년 03월 20일,2411,1488
춘천,2018년 03월 21일,2167,1428
춘천,2018년 03월 22일,2697,1693
춘천,2018년 03월 23일,3289,2409
춘천,2018년 03월 24일,3269,3125
춘천,2018년 03월 25일,3014,2683
춘천,2018년 03월 26일,2691,1605
춘천,2018년 03월 27일,2678,1635
춘천,2018년 03월 28일,2715,1626
춘천,2018년 03월 29일,2854,1644
춘천,2018년 03월 30일,3436,2339
춘천,2018년 03월 31일,3625,3369
남춘천,2018년 04월 01일,3666,3555
남춘천,2018년 04월 02일,5143,2441
남춘천,2018년 04월 03일,3961,2268
남춘천,2018년 04월 04일,3542,2131
남춘천,2018년 04월 05일,3814,2380
남춘천,2018년 04월 06일,5510,3284
남춘천,2018년 04월 07일,6321,4601
남춘천,2018년 04월 08일,3605,3471
남춘천,2018년 04월 09일,4090,2437
남춘천,2018년 04월 10일,3875,2288
남춘천,2018년 04월 11일,3973,2378
남춘천,2018년 04월 12일,5298,2653
남춘천,2018년 04월 13일,5455,3238
남춘천,2018년 04월 14일,4186,3974
남춘천,2018년 04월 15일,3974,3685
남춘천,2018년 04월 16일,4222,2421
남춘천,2018년 04월 17일,4871,2236
남춘천,2018년 04월 18일,3934,2190
남춘천,2018년 04월 19일,4123,2452
남춘천,2018년 04월 20일,4982,3097
남춘천,2018년 04월 21일,4821,3906
남춘천,2018년 04월 22일,3966,3382
남춘천,2018년 04월 23일,3515,2233
남춘천,2018년 04월 24일,3553,2160
남춘천,2018년 04월 25일,3880,2276
남춘천,2018년 04월 26일,4352,2637
남춘천,2018년 04월 27일,6424,3665
남춘천,2018년 04월 28일,5701,4065
남춘천,2018년 04월 29일,4398,3572
남춘천,2018년 04월 30일,4342,2603
춘천,2018년 04월 01일,2827,2747
춘천,2018년 04월 02일,2799,1620
춘천,2018년 04월 03일,2897,1705
춘천,2018년 04월 04일,2418,1530
춘천,2018년 04월 05일,2441,1574
춘천,2018년 04월 06일,3245,2331
춘천,2018년 04월 07일,3566,3511
춘천,2018년 04월 08일,2843,2660
춘천,2018년 04월 09일,2934,1710
춘천,2018년 04월 10일,2902,1713
춘천,2018년 04월 11일,2681,1667
춘천,2018년 04월 12일,3211,1879
춘천,2018년 04월 13일,3358,2403
춘천,2018년 04월 14일,2711,2963
춘천,2018년 04월 15일,3317,2850
춘천,2018년 04월 16일,3163,1714
춘천,2018년 04월 17일,2975,1653
춘천,2018년 04월 18일,2848,1778
춘천,2018년 04월 19일,3329,1961
춘천,2018년 04월 20일,3149,2275
춘천,2018년 04월 21일,4227,3648
춘천,2018년 04월 22일,2686,2651
춘천,2018년 04월 23일,2059,1535
춘천,2018년 04월 24일,2670,1644
춘천,2018년 04월 25일,2982,1700
춘천,2018년 04월 26일,3361,1951
춘천,2018년 04월 27일,4119,2588
춘천,2018년 04월 28일,4726,3448
춘천,2018년 04월 29일,4315,3354
춘천,2018년 04월 30일,3483,1971
남춘천,2018년 05월 01일,4607,2475
남춘천,2018년 05월 02일,3751,2276
남춘천,2018년 05월 03일,4326,2647
남춘천,2018년 05월 04일,6372,3829
남춘천,2018년 05월 05일,6231,4308
남춘천,2018년 05월 06일,3922,3827
남춘천,2018년 05월 07일,6639,4380
남춘천,2018년 05월 08일,4183,2603
남춘천,2018년 05월 09일,3887,2346
남춘천,2018년 05월 10일,4466,2554
남춘천,2018년 05월 11일,5640,3265
남춘천,2018년 05월 12일,5722,4090
남춘천,2018년 05월 13일,4189,3449
남춘천,2018년 05월 14일,4288,2460
남춘천,2018년 05월 15일,4057,2340
남춘천,2018년 05월 16일,3347,2383
남춘천,2018년 05월 17일,4029,2688
남춘천,2018년 05월 18일,5333,3362
남춘천,2018년 05월 19일,6195,4235
남춘천,2018년 05월 20일,4449,3701
남춘천,2018년 05월 21일,5439,3016
남춘천,2018년 05월 22일,5681,3323
남춘천,2018년 05월 23일,4002,2420
남춘천,2018년 05월 24일,4312,2653
