업종 중분류명,소비금액,소비비율
숙박업,1.522622591278E12,4.1
여행업,3.6726430506E10,0.1
운송업,1.321672337672E12,3.6
쇼핑업,1.2633958409218E13,34.3
여가서비스업,2.875390482031E12,7.8
식음료업,1.8451134493985E13,50.1
