,충전소명,충전기타입,위도,경도,충전용량,충전방식,주차료무료
0,용인시청,6,37.2406659,127.1773752,50.0,단독,N
1,포곡읍사무소,6,37.2781004,127.2312587,50.0,단독,N
2,죽전휴게소(서울방향),6,37.3320728,127.1048475,50.0,단독,Y
3,죽전휴게소(서울방향),6,37.3320728,127.1048475,50.0,단독,Y
4,기흥휴게소(부산방향),6,37.2356557,127.105021,50.0,단독,Y
5,기흥휴게소(부산방향),6,37.2356557,127.105021,50.0,단독,Y
6,용인휴게소(강릉방향),6,37.2458742,127.2429327,50.0,단독,Y
7,용인휴게소(강릉방향),6,37.2458742,127.2429327,50.0,단독,Y
8,용인휴게소(서창방향),6,37.2478126,127.2389965,50.0,단독,Y
9,용인휴게소(서창방향),6,37.2478126,127.2389965,50.0,단독,Y
10,용인시민체육공원,6,37.247782,127.16471309,50.0,단독,Y
11,용인시민체육공원,6,37.247782,127.16471309,50.0,단독,Y
12,용인시민체육공원,4,37.247782,127.16471309,100.0,동시,Y
13,용인시민체육공원,4,37.247782,127.16471309,100.0,동시,Y
14,롯데마트 신갈점,6,37.2722536,127.1088814,50.0,단독,Y
15,롯데마트 신갈점,4,37.2722536,127.1088814,100.0,동시,Y
16,롯데마트 신갈점,4,37.2722536,127.1088814,100.0,동시,Y
17,송전휴게소,6,37.140527,127.204711,50.0,단독,Y
18,금학공영주차장,4,37.23605,127.20125,200.0,동시,Y
19,금학공영주차장,4,37.23605,127.20125,200.0,동시,Y
20,한국소방산업기술원,4,37.233967785354,127.14409263,100.0,단독,Y
21,한국소방산업기술원,4,37.233967785354,127.14409263,100.0,단독,Y
22,한국소방산업기술원,4,37.233967785354,127.14409263,100.0,단독,Y
23,한국소방산업기술원,4,37.233967785354,127.14409263,100.0,단독,Y
24,용인시민체육센터 제2주차장,4,37.276565,127.245822,100.0,단독,Y
25,용인시민체육센터 제2주차장,4,37.276565,127.245822,100.0,단독,Y
26,용인시민체육센터 제2주차장,4,37.276565,127.245822,100.0,단독,Y
27,용인시민체육센터 제2주차장,4,37.276565,127.245822,100.0,단독,Y
28,구성동주민센터,4,37.296872,127.118632,100.0,단독,N
29,구성동주민센터,4,37.296872,127.118632,100.0,단독,N
30,이마트 수지점,4,37.319494,127.083188,100.0,단독,N
31,이마트 수지점,4,37.319494,127.083188,100.0,단독,N
32,이마트 보라점,4,37.247346,127.104984,100.0,단독,N
33,이마트 보라점,4,37.247346,127.104984,100.0,단독,N
34,죽전휴게소 (서울방향),4,37.3316793,127.1045386,100.0,단독,Y
35,죽전휴게소 (서울방향),4,37.3316793,127.1045386,100.0,단독,Y
36,죽전휴게소 (서울방향),4,37.3316793,127.1045386,350.0,단독,Y
37,죽전휴게소 (서울방향),4,37.3316793,127.1045386,350.0,단독,Y
38,용인서부경찰서,4,37.3094934,127.1056667,100.0,단독,Y
39,운학동예비군훈련장,4,37.2146582,127.2382608,200.0,동시,Y
40,운학동예비군훈련장,4,37.2146582,127.2382608,200.0,동시,Y
41,운학동예비군훈련장,4,37.2146582,127.2382608,200.0,동시,Y
42,운학동예비군훈련장,4,37.2146582,127.2382608,200.0,동시,Y
43,에스지스크린골프,2,37.257835,127.160884,14.0,동시,Y
44,용인스테이타워,2,37.2716518,127.109405,7.0,단독,N
45,죽전누리에뜰,2,37.3200176,127.111144,7.0,단독,N
46,죽전누리에뜰,2,37.3200176,127.111144,7.0,단독,N
47,죽전누리에뜰,2,37.3200176,127.111144,7.0,단독,N
48,죽전누리에뜰,2,37.3200176,127.111144,7.0,단독,N
49,동백중앙프라자상가,2,37.2816769,127.160365,7.0,단독,N
50,동백중앙프라자상가,2,37.2816769,127.160365,7.0,단독,N
51,동백중앙프라자상가,2,37.2816769,127.160365,7.0,단독,N
52,동백중앙프라자상가,2,37.2816769,127.160365,7.0,단독,N
53,동백중앙프라자상가,2,37.2816769,127.160365,7.0,단독,N
54,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
55,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
56,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
57,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
58,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
59,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
60,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
61,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
62,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
63,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
64,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
65,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
66,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
67,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
68,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
69,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
70,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
71,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
72,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
73,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
74,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
75,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
76,삼성래미안1차아파트,2,37.2990401,127.112783,7.0,단독,N
