,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,위도,경도,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,파워타입,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
22,한국소방산업기술원,ME19F401,03,04,경기도 용인시 기흥구 지삼로 331,null,09:00~19:00,37.233967785354,127.14409263,ME,환경부,환경부,1661-9408,9,20221011134810,20221010114324,20221010122330,,,100,단독,41,41460,A0,A003,Y,,N,,N,
23,한국소방산업기술원,ME19F401,04,04,경기도 용인시 기흥구 지삼로 331,null,09:00~19:00,37.233967785354,127.14409263,ME,환경부,환경부,1661-9408,9,20221011152810,20221011143938,20221011145727,,,100,단독,41,41460,A0,A003,Y,,N,,N,
24,용인시민체육센터 제2주차장,ME19X441,41,04,경기도 용인시 처인구 포곡읍 금어로 ,null,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20221011135344,20221011131641,20221011135341,,,100,단독,41,41460,J0,J002,Y,,N,,N,
25,용인시민체육센터 제2주차장,ME19X441,42,04,경기도 용인시 처인구 포곡읍 금어로 ,null,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,3,20221011152447,20221011150702,20221011152311,20221011152447,,100,단독,41,41460,J0,J002,Y,,N,,N,
26,용인시민체육센터 제2주차장,ME19X441,43,04,경기도 용인시 처인구 포곡읍 금어로 ,null,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20221011143004,20221011135143,20221011142959,,,100,단독,41,41460,J0,J002,Y,,N,,N,
27,용인시민체육센터 제2주차장,ME19X441,44,04,경기도 용인시 처인구 포곡읍 금어로 ,null,24시간 이용가능,37.276565,127.245822,ME,환경부,환경부,1661-9408,2,20221007135140,20221007114959,20221007122813,,,100,단독,41,41460,J0,J002,Y,,N,,N,
28,구성동주민센터,ME19Y285,01,04,경기도 용인시 기흥구 구성로77번길 17,null,24시간 이용가능,37.296872,127.118632,ME,환경부,환경부,1661-9408,3,20221011153922,20221011144325,20221011152044,20221011153922,,100,단독,41,41460,A0,A002,N,,N,,N,
29,구성동주민센터,ME19Y285,02,04,경기도 용인시 기흥구 구성로77번길 17,null,24시간 이용가능,37.296872,127.118632,ME,환경부,환경부,1661-9408,2,20221011143453,20221011141715,20221011143453,,,100,단독,41,41460,A0,A002,N,,N,,N,
30,이마트 수지점,ME19Z226,21,04,경기도 용인시 수지구 수지로 203,null,10:00 ~ 23:00,37.319494,127.083188,ME,환경부,환경부,1661-9408,3,20221011152950,20221011134326,20221011135203,20221011152950,,100,단독,41,41460,E0,E001,N,,N,,N,
31,이마트 수지점,ME19Z226,22,04,경기도 용인시 수지구 수지로 203,null,10:00 ~ 23:00,37.319494,127.083188,ME,환경부,환경부,1661-9408,3,20221011151615,20221010211759,20221010215759,20221011151615,,100,단독,41,41460,E0,E001,N,,N,,N,
