노선번호,노선명,노선별정류장순번,정류장번호,정류장명,위도,경도,데이터기준일
250000200,2,2,250026778,장학교차로,37.893860,127.755620,2021-09-09
250000200,2,3,250001754,강동농협장학지점,37.891770,127.753170,2021-09-09
250000200,2,4,250026617,공단입구,37.891010,127.749900,2021-09-09
250000200,2,5,250001563,도민일보,37.890510,127.744850,2021-09-09
250000200,2,6,250001540,동산A,37.889210,127.742110,2021-09-09
250000200,2,7,250002229,봉의A,37.886750,127.744890,2021-09-09
250000200,2,8,250002124,세경3차,37.884840,127.744150,2021-09-09
250000200,2,9,250001547,동보빌리지,37.883720,127.741080,2021-09-09
250000200,2,10,250002127,한림대학교,37.883500,127.738310,2021-09-09
250000200,2,11,250001262,향교,37.881500,127.734660,2021-09-09
250000200,2,12,250001358,춘천시청별관,37.881640,127.732580,2021-09-09
250000200,2,13,250026768,e편한세상,37.884270,127.726120,2021-09-09
250000200,2,14,250001372,춘천농협,37.884460,127.723370,2021-09-09
250000200,2,15,250001886,소양로우체국,37.881080,127.726180,2021-09-09
250000200,2,16,250002029,명동입구,37.879710,127.726680,2021-09-09
250000200,2,17,250001848,중앙시장/중앙초교,37.878350,127.724990,2021-09-09
250000200,2,18,250001202,중앙시장환승센터,37.877070,127.723080,2021-09-09
250000200,2,19,250001349,춘천시보건소,37.876210,127.720840,2021-09-09
250000200,2,20,250001353,춘천중학교,37.875270,127.717690,2021-09-09
250000200,2,21,250001350,엘타워/미소지움,37.874040,127.717030,2021-09-09
250000200,2,22,250001986,미소지움/방송대,37.873290,127.720140,2021-09-09
250000200,2,23,250027092,온누리공원앞,37.868360,127.719780,2021-09-09
250000200,2,24,250002081,시외버스터미널,37.864110,127.719760,2021-09-09
250000200,2,25,250001903,은행나무공원,37.861950,127.719690,2021-09-09
250000200,2,26,250001621,남춘천중학교,37.860590,127.721390,2021-09-09
250000200,2,27,250001307,한진한성,37.859450,127.723130,2021-09-09
250000200,2,28,250001306,퇴계현대1차,37.857920,127.726430,2021-09-09
250000200,2,29,250001326,퇴계동입구,37.859300,127.727630,2021-09-09
250000200,2,30,250001921,유승한내들,37.861890,127.731050,2021-09-09
250000200,2,31,250026583,휴먼시아2차,37.860710,127.733000,2021-09-09
250000200,2,32,250001322,퇴계주공2차,37.858410,127.737100,2021-09-09
250000200,2,33,250002132,봄내초등학교,37.856420,127.741740,2021-09-09
250000200,2,34,250001321,퇴계주공3.4차,37.855670,127.744370,2021-09-09
250000200,2,35,250001172,로데오거리,37.855050,127.748310,2021-09-09
250000200,2,36,250002138,석사삼익A,37.853080,127.751040,2021-09-09
250000200,2,37,250002145,석사극동A,37.851000,127.752700,2021-09-09
250000200,2,38,250026846,태백교,37.848700,127.753500,2021-09-09
250000200,2,39,250026660,스무숲입구,37.850550,127.748700,2021-09-09
250000200,2,40,250002018,현진에버빌1차,37.850340,127.747350,2021-09-09
250000200,2,41,250026661,춘천고용복지센터,37.851510,127.744650,2021-09-09
250000200,2,42,250002086,시립요양원입구,37.850600,127.750000,2021-09-09
250000200,2,43,250002146,석사극동A,37.851180,127.752780,2021-09-09
250000200,2,44,250002139,초록지붕A,37.853240,127.751170,2021-09-09
250000200,2,45,250001320,퇴계주공3.4차,37.855780,127.744720,2021-09-09
250000200,2,46,250002131,봄내초교,37.856570,127.742000,2021-09-09
250000200,2,47,250026599,석사교사거리,37.857370,127.739650,2021-09-09
250000200,2,48,250001323,퇴계주공1차,37.858710,127.736980,2021-09-09
250000200,2,49,250026584,휴먼시아1차,37.860870,127.733200,2021-09-09
250000200,2,50,250001922,유승한내들,37.861920,127.731370,2021-09-09
250000200,2,51,250001327,남부초교,37.859310,127.727430,2021-09-09
250000200,2,52,250001305,퇴계현대1차,37.858580,127.725020,2021-09-09
250000200,2,53,250001324,퇴계우체국,37.859620,127.723260,2021-09-09
250000200,2,54,250001620,남춘천초교,37.860410,127.721870,2021-09-09
250000200,2,55,250001902,열린공원,37.861530,127.720530,2021-09-09
250000200,2,56,250002080,시외버스터미널,37.863680,127.719890,2021-09-09
250000200,2,57,250027091,온의동푸르지오,37.868550,127.719780,2021-09-09
250000200,2,58,250027093,방송통신대앞,37.871940,127.720720,2021-09-09
250000200,2,59,250001351,춘천중학교정문,37.873980,127.718100,2021-09-09
250000200,2,60,250001352,춘천중학교,37.874870,127.717180,2021-09-09
250000200,2,61,250001348,춘천초등학교,37.876080,127.720960,2021-09-09
250000200,2,62,250001847,중앙시장환승센터,37.877490,127.724200,2021-09-09
250000200,2,63,250001849,중앙시장,37.878500,127.725480,2021-09-09
250000200,2,64,250001885,인성병원,37.881090,127.726590,2021-09-09
250000200,2,65,250001371,춘천농협,37.883650,127.723280,2021-09-09
250000200,2,66,250026767,한신휴플러스,37.884230,127.725920,2021-09-09
250000200,2,67,250001359,춘천시청별관,37.881470,127.732940,2021-09-09
250000200,2,68,250001263,향교,37.881770,127.735140,2021-09-09
250000200,2,69,250001275,한림대학교,37.883160,127.737250,2021-09-09
250000200,2,70,250001548,동보빌리지,37.883640,127.741340,2021-09-09
250000200,2,71,250002125,세경3차,37.884510,127.743700,2021-09-09
250000200,2,72,250001686,농협후석로지점,37.886210,127.745780,2021-09-09
250000200,2,73,250002230,봉의A,37.887680,127.744130,2021-09-09
250000200,2,74,250001541,소방서,37.889130,127.742500,2021-09-09
250000200,2,75,250001564,도민일보,37.890220,127.743040,2021-09-09
250000200,2,76,250001375,기계공고,37.890500,127.746160,2021-09-09
250000200,2,77,250026618,공단입구,37.890860,127.749960,2021-09-09
250000200,2,78,250001753,강동농협장학지점,37.891710,127.753480,2021-09-09
250000200,2,79,250026917,강원고앞,37.895190,127.755230,2021-09-09
250000201,2-S,1,250026779,장학해온채A,37.897080,127.754070,2021-09-09
250000201,2-S,2,250026778,장학교차로,37.893860,127.755620,2021-09-09
250000201,2-S,3,250001754,강동농협장학지점,37.891770,127.753170,2021-09-09
250000201,2-S,4,250026617,공단입구,37.891010,127.749900,2021-09-09
250000201,2-S,5,250001563,도민일보,37.890510,127.744850,2021-09-09
250000201,2-S,6,250001540,동산A,37.889210,127.742110,2021-09-09
250000201,2-S,7,250002229,봉의A,37.886750,127.744890,2021-09-09
250000201,2-S,8,250002124,세경3차,37.884840,127.744150,2021-09-09
250000201,2-S,9,250001547,동보빌리지,37.883720,127.741080,2021-09-09
250000201,2-S,10,250002127,한림대학교,37.883500,127.738310,2021-09-09
250000201,2-S,11,250001262,향교,37.881500,127.734660,2021-09-09
250000201,2-S,12,250001358,춘천시청별관,37.881640,127.732580,2021-09-09
250000201,2-S,13,250026768,e편한세상,37.884270,127.726120,2021-09-09
250000201,2-S,14,250001372,춘천농협,37.884460,127.723370,2021-09-09
250000201,2-S,15,250001886,소양로우체국,37.881080,127.726180,2021-09-09
250000201,2-S,16,250002029,명동입구,37.879710,127.726680,2021-09-09
250000201,2-S,17,250001848,중앙시장/중앙초교,37.878350,127.724990,2021-09-09
250000201,2-S,18,250001202,중앙시장환승센터,37.877070,127.723080,2021-09-09
250000201,2-S,19,250001349,춘천시보건소,37.876210,127.720840,2021-09-09
250000201,2-S,20,250001353,춘천중학교,37.875270,127.717690,2021-09-09
250000201,2-S,21,250001350,엘타워/미소지움,37.874040,127.717030,2021-09-09
250000201,2-S,22,250001986,미소지움/방송대,37.873290,127.720140,2021-09-09
250000201,2-S,23,250027092,온누리공원앞,37.868360,127.719780,2021-09-09
250000201,2-S,24,250002081,시외버스터미널,37.864110,127.719760,2021-09-09
250000201,2-S,25,250001903,은행나무공원,37.861950,127.719690,2021-09-09
250000201,2-S,26,250001621,남춘천중학교,37.860590,127.721390,2021-09-09
250000201,2-S,27,250001307,한진한성,37.859450,127.723130,2021-09-09
250000201,2-S,28,250001306,퇴계현대1차,37.857920,127.726430,2021-09-09
250000201,2-S,29,250001326,퇴계동입구,37.859300,127.727630,2021-09-09
250000201,2-S,30,250001921,유승한내들,37.861890,127.731050,2021-09-09
250000201,2-S,31,250026583,휴먼시아2차,37.860710,127.733000,2021-09-09
250000201,2-S,32,250001322,퇴계주공2차,37.858410,127.737100,2021-09-09
250000201,2-S,33,250002132,봄내초등학교,37.856420,127.741740,2021-09-09
250000201,2-S,34,250001321,퇴계주공3.4차,37.855670,127.744370,2021-09-09
250000201,2-S,35,250001172,로데오거리,37.855050,127.748310,2021-09-09
250000201,2-S,36,250002138,석사삼익A,37.853080,127.751040,2021-09-09
250000201,2-S,37,250002145,석사극동A,37.851000,127.752700,2021-09-09
250000201,2-S,38,250026846,태백교,37.848700,127.753500,2021-09-09
250000201,2-S,39,250026660,스무숲입구,37.850550,127.748700,2021-09-09
250000201,2-S,40,250002018,현진에버빌1차,37.850340,127.747350,2021-09-09
250000201,2-S,41,250026661,춘천고용복지센터,37.851510,127.744650,2021-09-09
250000201,2-S,42,250002086,시립요양원입구,37.850600,127.750000,2021-09-09
250000201,2-S,43,250002146,석사극동A,37.851180,127.752780,2021-09-09
250000201,2-S,44,250002139,초록지붕A,37.853240,127.751170,2021-09-09
250000201,2-S,45,250001320,퇴계주공3.4차,37.855780,127.744720,2021-09-09
250000201,2-S,46,250002131,봄내초교,37.856570,127.742000,2021-09-09
250000201,2-S,47,250026599,석사교사거리,37.857370,127.739650,2021-09-09
